age range,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
age 00-05,856.61247436,811.7844951,762.91255134,711.6640863800001,680.51657383,634.2702328600001,626.2894340500001,646.5300563799999,605.9349037,549.3923124099999,556.22633733,518.9663535999999,492.28311862000004,446.12924422000003,432.64441027000004,408.61689455,322.07610581999995,375.74155964
age 06-09,1236.2379825,1113.2764362,993.3109565,904.2354348000001,857.7280943999999,830.9349939,799.3648537999999,798.1998901,687.133108,655.3190652000001,673.6220472,639.2373437,597.261294,558.4923208,542.7370054,499.1588635,339.06617590999997,400.67034484000004
age 10-12,1632.1123123,1464.6099140000001,1328.7571282,1299.9160632,1176.2754157,1081.8122425000001,1087.1170691,1051.2208201,960.7624088,843.4676687,861.5920486,814.2379101,772.2616449,769.3098866,780.2713662000001,791.6798385,532.5601628000001,699.1122865
age 13-15,2194.5557697,1933.0752836,1821.588792,1650.9902103,1422.7966188,1359.3934731,1170.1642459,1101.1103332,1042.1595035,861.19658,957.4591128000001,893.0656948000001,863.3772558000001,895.3146724000001,870.5677117999999,874.3743383999999,671.4992735999999,796.5183517
age 16-17,3086.2990179999997,3189.21457,3028.235399,2914.9848739999998,2559.0859769999997,2257.0525196,1856.0496603,1759.7377136,1599.0011885,1376.9615454,1317.4121334000001,1224.2152167,1171.8930838,1155.7543606,1069.6368011,1008.259573,788.0185806,929.8031475
age 18-29,14445.406547600001,13607.231219500001,13435.308959400001,12931.612809299999,11927.356561899998,11164.415493199998,9825.4179993,9977.218114700001,9973.6162483,9464.5078643,9825.7983533,9569.360783800003,9031.498683699998,8736.2129025,8264.5048668,7957.517706999999,6221.0902625,7262.676177799999
age 30-49,15002.5433701,13934.9643395,13566.876350800001,12998.276647700004,12013.614105500003,11526.8951167,10657.827215900003,10850.678694199998,10450.5382335,9944.3997185,10420.758947000002,9715.100915899999,9391.874167300002,8988.9039652,9175.200828699999,8876.045380200001,7200.7909511,8031.0172557999995
age 50-69,6962.548814900001,6638.279752799999,6613.703712500001,6441.922439399999,6179.75844,6247.155407800001,6003.1561833,6318.9678877000015,6506.9295682,6360.3340481000005,6999.398822900001,6827.592241500001,6792.776957100001,6548.0958171,7022.4261276000025,6753.915397600001,5599.602761599998,6078.391788499999
age 70-89,3646.2119281399996,3447.1002585100005,3409.08620227,3273.01706553,3201.3944913900004,3093.02057371,2948.6022011099994,3077.4316597000006,3183.2108866999997,3005.53264358,3290.0033186600003,3224.82165514,3188.1967701800004,3192.4747368899993,3484.2400039899994,3364.8393505199997,2186.78982696,2510.51590462
age 90-109,166.48764839299997,209.96598176000003,145.01991016399998,181.729325956,169.362940943,154.92218950000003,149.950520284,177.704789226,183.03038919240004,179.73702624916996,215.57190084249999,193.2945849415,207.53445187125,185.329726315,213.18087367959998,214.40329605760002,126.73026390400001,147.967990308
not logged,965.9043744,906.4408596,770.1299875,747.2338859,659.4344756,514.8244071,484.3463815,425.2921569,386.6550412,391.0210958,346.0320265,370.5139777,307.1927913,202.1944313,247.0342045,227.5024212,177.7693099,217.5658012
